task,method,kbits,vbits,status,score,n_samples,oom,elapsed_sec,peak_allocated_gb,group_size,window_size,sink,clip,protect_layers,protected_bits,error
2wikimqa,KIVI,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
2wikimqa,fp16,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
2wikimqa,skvq_baseline,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
2wikimqa,tq_hybrid,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
2wikimqa,tq_replace,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
gov_report,KIVI,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
gov_report,fp16,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
gov_report,skvq_baseline,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
gov_report,tq_hybrid,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
gov_report,tq_replace,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
lcc,KIVI,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
lcc,fp16,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
lcc,skvq_baseline,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
lcc,tq_hybrid,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
lcc,tq_replace,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
multifieldqa_zh,KIVI,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
multifieldqa_zh,fp16,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
multifieldqa_zh,skvq_baseline,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
multifieldqa_zh,tq_hybrid,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
multifieldqa_zh,tq_replace,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
passage_retrieval_en,KIVI,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
passage_retrieval_en,fp16,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
passage_retrieval_en,skvq_baseline,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
passage_retrieval_en,tq_hybrid,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
passage_retrieval_en,tq_replace,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
repobench-p,KIVI,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
repobench-p,fp16,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
repobench-p,skvq_baseline,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
repobench-p,tq_hybrid,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
repobench-p,tq_replace,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
trec,KIVI,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
trec,fp16,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
trec,skvq_baseline,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
trec,tq_hybrid,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
trec,tq_replace,2,2,error,,,,,,128,128,5,0.96,,,"Dataset scripts are no longer supported, but found LongBench.py"
