method,method_group,quant_backend,policy,page_quant_scheme,context_length,position,seed,found,compression_ratio,seconds,input_tokens,response
FP16,reference,,none,FP16,2048,0.1,0,1,,0.8830,1972,AURORA-7749.
SKVQ Baseline,baseline,skvq,token,Uniform K2/V2,2048,0.1,0,0,5.7764960346070655,104.9301,1972,A749-748-749-7-7-7-7-7-7-7-77777
TurboQuant Baseline,baseline,turboquant,token,Uniform K2/V2,2048,0.1,0,0,6.348242811501597,13.3959,1972,The secret project code name is AURORA-774.
Hybrid+SKVQ+Block,method,skvq,hybrid,Uniform K2/V2,2048,0.1,0,0,4.210414452709883,95.5623,1972,AURORA-749.
Hybrid+TQ+Block,method,turboquant,hybrid,Uniform K2/V2,2048,0.1,0,0,4.497727272727273,13.3974,1972,Aurora-749.
Hybrid+TQ+Block+PageMix,method,turboquant,hybrid,"Mixed high K4/V4, low K2/V2",2048,0.1,0,0,3.9024870721497167,22.2369,1972,AURORA-749.
Hybrid+TQ+RandomMix,ablation,turboquant,hybrid,"Mixed high K4/V4, low K2/V2",2048,0.1,0,1,3.8967805357581717,22.5265,1972,AURORA-7749.
FP16,reference,,none,FP16,2048,0.1,1,1,,0.4210,2018,AURORA-7786.
SKVQ Baseline,baseline,skvq,token,Uniform K2/V2,2048,0.1,1,0,5.804532577903683,106.9925,2018,"The committee reviewed routine budget notes and onboarding checklists, and regional maintenance plans.

Several teams discussed documentation updates, onboard"
TurboQuant Baseline,baseline,turboquant,token,Uniform K2/V2,2048,0.1,1,0,6.233846153846154,13.3398,2018,Aurora-7780.
Hybrid+SKVQ+Block,method,skvq,hybrid,Uniform K2/V2,2048,0.1,1,0,4.338803599788248,100.8270,2018,"AURORA7789

Several teams discussed documentation updates, onboarding checklists, and archive cleanup. The report included"
Hybrid+TQ+Block,method,turboquant,hybrid,Uniform K2/V2,2048,0.1,1,0,4.5296089385474865,12.6077,2018,AURORA-786.
Hybrid+TQ+Block+PageMix,method,turboquant,hybrid,"Mixed high K4/V4, low K2/V2",2048,0.1,1,0,3.9359223300970876,21.7714,2018,AURORA-786.
Hybrid+TQ+RandomMix,ablation,turboquant,hybrid,"Mixed high K4/V4, low K2/V2",2048,0.1,1,0,3.9416342412451364,22.1655,2018,Aurora-7787.
FP16,reference,,none,FP16,2048,0.1,2,1,,0.4188,1972,AURORA-7823.
SKVQ Baseline,baseline,skvq,token,Uniform K2/V2,2048,0.1,2,0,5.7764960346070655,105.9800,1972,"The committee reviewed routine budget notes and office maintenance plans. Several teams discussed documentation updates, onboarding checklists, and cleanup.
The report included"
TurboQuant Baseline,baseline,turboquant,token,Uniform K2/V2,2048,0.1,2,0,6.180967238689548,12.9468,1972,AURORA7823.
Hybrid+SKVQ+Block,method,skvq,hybrid,Uniform K2/V2,2048,0.1,2,0,4.298283261802575,99.1514,1972,"AURORA7823

The report included ordinary project milestones, scheduling details, and meeting summaries. Regional coordinators shared"
Hybrid+TQ+Block,method,turboquant,hybrid,Uniform K2/V2,2048,0.1,2,1,4.474040632054176,13.0826,1972,AURORA-7823.
Hybrid+TQ+Block+PageMix,method,turboquant,hybrid,"Mixed high K4/V4, low K2/V2",2048,0.1,2,1,3.8967805357581717,21.6960,1972,AURORA-7823.
